w_out,LCOH,LCOH_i
904.1565655,0.022001106,0.470857922
2517.177454,0.019824615,0.42427763
790.338856,0.040933172,0.876033622
1332.285556,0.054475752,1.165865918
2044.16197,0.044217277,0.946318582
276.2441837,0.075101993,1.60729959
1605.010947,0.044004452,0.941763804
900.3034176,0.027055737,0.57903491
1135.395313,0.048863244,1.045749516
2020.311898,0.018263201,0.390860943
4070.349374,0.013668607,0.292529469
2489.921061,0.015046135,0.322010716
1353.583138,0.019453829,0.416342242
1108.584251,0.048057046,1.028495611
300.9536339,0.056154366,1.201790877
104.4852595,0.425268792,9.101414349
1286.157141,0.048667974,1.041570425
1436.890511,0.028768314,0.615686709
2755.532248,0.008469817,0.181267275
1908.16471,0.034395682,0.736121148
3965.576438,0.016866624,0.360972026
1450.884734,0.040551537,0.867866044
4016.629448,0.014972168,0.32042771
6731.704716,0.014742281,0.315507764
3782.669221,0.012973025,0.277642933
3312.270691,0.010390598,0.222374967
3397.381344,0.017078858,0.365514155
653.2291775,0.103191797,2.208465145
1872.210632,0.030274474,0.647920889
1036.275731,0.061140475,1.308501362
678.691768,0.049978537,1.069618515
5472.414379,0.011296943,0.241772179
2674.724804,0.026982724,0.5774723
428.9988373,0.159715808,3.418166995
3983.370648,0.023208253,0.496692746
4684.60471,0.018422618,0.394272722
564.278342,0.036393366,0.778874699
1637.540573,0.014713989,0.31490227
5794.119519,0.01182854,0.253149173
4213.681122,0.01048712,0.224440698
2760.508225,0.017357909,0.371486277
3240.54405,0.013820572,0.295781753
3495.920975,0.024729792,0.529256055
5327.153123,0.008577963,0.183581769
3811.216397,0.020839997,0.446008388
239.9377364,0.067050859,1.43499279
3321.307918,0.023484469,0.502604207
4716.89794,0.009323701,0.199541709
1316.621948,0.059194778,1.266860416
5086.867457,0.014100803,0.301779135
1063.984571,0.045430843,0.972290783
555.5882949,0.134078819,2.8694955
4111.302947,0.01983368,0.424471643
3404.344662,0.010531878,0.225398598
2594.532198,0.036766368,0.786857526
